DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20171121,14.80,14.94,13.46,14.15,158550000,0,0,0
20171122,14.05,14.26,13.85,14.20,91778300,0,0,0
20171123,14.22,14.22,13.81,13.95,116380000,0,0,0
20171124,13.95,14.43,13.54,14.43,153144000,0,0,0
20171125,14.37,14.82,14.09,14.49,143624000,0,0,0
20171126,14.51,15.01,14.23,14.79,115807000,0,0,0
20171127,14.69,14.95,14.22,14.79,141497000,0,0,0
20171128,14.76,15.90,14.60,15.49,248416000,0,0,0
20171129,15.44,15.44,12.27,12.45,169681000,0,0,0
20171130,12.49,13.53,11.44,12.95,116134000,0,0,0
20171201,12.87,13.28,12.13,13.16,77540700,0,0,0
20171202,13.15,13.45,12.55,13.00,106410000,0,0,0
20171203,13.03,13.68,12.49,13.15,101683000,0,0,0
